                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.83461,                 0.4625,                  1.034,                0.90683,                0.87018,                0.93932,                0.68367,                0.86034,                0.47797,                  1.046,              0.0004952,              0.0004952,              0.0004952
                     78,                0.80777,                0.47074,                 1.0383,                0.91582,                0.88533,                0.94448,                0.67761,                 0.8639,                0.47923,                 1.0507,              0.0004754,              0.0004754,              0.0004754
                     79,                0.79233,                0.45745,                 1.0388,                0.90193,                0.88727,                0.94073,                0.67657,                0.86229,                0.49838,                 1.0563,              0.0004556,              0.0004556,              0.0004556
                     80,                0.79064,                0.45284,                 1.0298,                0.89686,                0.87852,                0.93499,                  0.669,                0.84499,                0.49471,                 1.0357,              0.0004358,              0.0004358,              0.0004358
                     81,                0.77735,                0.44261,                 1.0277,                0.90245,                0.89908,                  0.946,                0.68599,                0.84325,                0.47652,                 1.0399,               0.000416,               0.000416,               0.000416
                     82,                  0.787,                0.45906,                 1.0568,                0.90938,                0.88241,                0.94365,                0.67766,                0.85933,                0.48806,                 1.0534,              0.0003962,              0.0003962,              0.0003962
                     83,                0.78601,                0.44945,                 1.0341,                0.89751,                 0.8931,                0.94086,                0.67482,                0.86032,                0.49918,                 1.0477,              0.0003764,              0.0003764,              0.0003764
                     84,                0.79052,                0.44309,                 1.0142,                0.90795,                0.88435,                0.94014,                 0.6737,                0.84015,                 0.4733,                 1.0293,              0.0003566,              0.0003566,              0.0003566
                     85,                0.80002,                0.44404,                 1.0314,                0.90413,                0.88144,                0.94424,                0.68291,                0.83875,                0.46188,                 1.0366,              0.0003368,              0.0003368,              0.0003368
                     86,                0.77405,                0.43321,                  1.015,                0.91199,                0.87755,                0.94423,                0.68497,                 0.8462,                0.46684,                 1.0384,               0.000317,               0.000317,               0.000317
